"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"VX","SFO","LAX","JFK","-5","1","-5","1"
"VX","SFO","LAS","JFK","-3","13","8","13"
"VX","SFO","LAX","JFK","-1","1","-5","1"
"B6","SFO","BOS","JFK","26","-12","-2","-12"
"B6","SFO","FLL","JFK","13","-19","-5","-19"
"DL","SFO","ATL","JFK","12","-10","1","-10"
"AA","SFO","ORD","JFK","-6","-6","-4","-6"
"DL","SFO","ATL","JFK","0","-19","9","-19"
"AA","SFO","MIA","JFK","-1","-10","2","-10"
"VX","SFO","LAX","JFK","3","15","14","15"
"DL","SFO","ATL","JFK","-3","11","1","11"
"VX","SFO","LAX","JFK","-4","15","14","15"
"B6","SFO","BOS","JFK","-9","-5","-9","-5"
"DL","SFO","ATL","JFK","-2","11","1","11"
"AA","SFO","ORD","JFK","3","-20","-4","-20"
"AA","SFO","ORD","JFK","-7","-20","-4","-20"
"VX","SFO","LAX","JFK","-7","5","-4","5"
"DL","SFO","ATL","JFK","-1","1","19","1"
"VX","SFO","LAX","JFK","-8","20","-3","20"
"VX","SFO","LAX","JFK","0","0","-1","0"
"VX","SFO","LAX","JFK","-5","0","-1","0"
"B6","SFO","BOS","JFK","-6","0","8","0"
"B6","SFO","FLL","JFK","16","-2","-1","-2"
"DL","SFO","ATL","JFK","-3","-22","-1","-22"
"AA","SFO","ORD","JFK","-7","-14","-5","-14"
"DL","SFO","ATL","JFK","-3","-16","0","-16"
"AA","SFO","MIA","JFK","-6","-12","14","-12"
"VX","SFO","LAX","JFK","6","-20","-1","-20"
"DL","SFO","ATL","JFK","0","-18","1","-18"
"VX","SFO","LAX","JFK","-5","-20","-1","-20"
"B6","SFO","BOS","JFK","7","4","-1","4"
"DL","SFO","ATL","JFK","-3","-18","1","-18"
"AA","SFO","ORD","JFK","-6","-13","-2","-13"
"B6","SFO","FLL","JFK","-3","-20","-3","-20"
"AA","SFO","ORD","JFK","-2","-13","-2","-13"
"DL","SFO","ATL","JFK","9","-12","0","-12"
"VX","SFO","LAX","JFK","-7","-6","-8","-6"
"VX","SFO","LAX","JFK","6","-8","1","-8"
"VX","SFO","LAX","JFK","-7","-8","1","-8"
"B6","SFO","BOS","JFK","34","-2","-3","-2"
"DL","SFO","ATL","JFK","20","-12","-1","-12"
"AA","SFO","MIA","JFK","539","-7","0","-7"
"AA","SFO","ORD","JFK","-4","-10","0","-10"
"DL","SFO","ATL","JFK","-2","-6","12","-6"
"AA","SFO","MIA","JFK","0","1","-5","1"
"VX","SFO","LAX","JFK","-5","-7","1","-7"
"DL","SFO","ATL","JFK","-1","20","17","20"
"VX","SFO","LAX","JFK","-7","-7","1","-7"
"B6","SFO","BOS","JFK","-6","-17","1","-17"
"DL","SFO","ATL","JFK","5","20","17","20"
"AA","SFO","ORD","JFK","-3","-14","-7","-14"
"B6","SFO","FLL","JFK","55","-5","5","-5"
"AA","SFO","ORD","JFK","-1","-14","-7","-14"
"VX","SFO","LAX","JFK","3","-15","-1","-15"
"DL","SFO","ATL","JFK","19","-19","-4","-19"
"VX","SFO","LAX","JFK","-3","-15","-1","-15"
"VX","SFO","LAS","JFK","-3","-8","6","-8"
